email_id,subject,llm_importance,gds_importance,decision,correct_value,note,reviewed_at
389,[Webinar] Don’t miss it! Measuring beyond your North Star metric,time_sensitive,routine,gds,routine,,2025-12-04T00:41:24.332616
390,[Webinar] Beyond the North Star: Turning Data into Impact with Metric Trees,time_sensitive,routine,gds,routine,,2025-12-04T00:41:28.715059
391,Reminder: Register for G.E.H.A's financial wellness webinar,time_sensitive,routine,gds,routine,newsletters are almost always routine - their events tend to be marketing focused,2025-12-04T00:41:45.978373
393,Please share this upcoming webinar with your employees,time_sensitive,routine,gds,routine,newsletter event,2025-12-04T00:42:01.310568
394,[Live Webinar Series] Break into AI Product Management in 2025 w/ Corebridge AI Expert,time_sensitive,routine,gds,routine,newsletter event,2025-12-04T00:42:09.496021
396,My Hertz Reservation L36608555B0,time_sensitive,routine,gds,routine,,2025-12-04T00:42:21.484916
404,Your Booking Confirmation at Athens Hawks,time_sensitive,routine,llm,time_sensitive,,2025-12-04T00:42:38.223818
405,"Hostelworld.com booking confirmation - Athens Hawks Hostel, Athens",time_sensitive,routine,llm,time_sensitive,,2025-12-04T00:42:48.437969
406,Your booking #1106804 is confirmed! ✅,time_sensitive,routine,llm,time_sensitive,,2025-12-04T00:42:52.722836
407,Ferry Booking Confirmation,time_sensitive,routine,llm,time_sensitive,,2025-12-04T00:42:56.747642
408,You have a new message from eLea through Booking.com,time_sensitive,routine,llm,time_sensitive,,2025-12-04T00:42:59.190036
433,Your Con Edison bill is ready,time_sensitive,routine,gds,routine,not requiring action,2025-12-04T00:44:40.437528
456,Security alert,critical,routine,llm,critical,,2025-12-04T00:44:57.042274
461,🆓 Reminder: Share Your Anonymized Offer & Unlock Lifetime Access to Product Uplevel,routine,time_sensitive,gds,time_sensitive,,2025-12-04T00:50:48.591900
469,🚗 Auto & Transport budget update,routine,time_sensitive,llm,routine,,2025-12-04T00:51:49.736201
474,🛍 Shopping budget update,routine,time_sensitive,llm,routine,,2025-12-04T00:51:53.430760
477,OpenWeatherMap Account confirmation,routine,critical,gds,critical,,2025-12-04T00:52:24.410319
479,eTicket Itinerary and Receipt for Confirmation HQWWY1,critical,time_sensitive,gds,time_sensitive,,2025-12-04T00:56:23.089091
498,Your WABA membership has expired,routine,time_sensitive,gds,time_sensitive,,2025-12-04T00:56:36.053200
508,"Hi Justin, Can You Do Us A Quick Favor?",routine,time_sensitive,llm,routine,,2025-12-04T00:56:56.676829
511,Join us for Future of Cancer event at The Post's D.C. HQ,time_sensitive,routine,gds,routine,,2025-12-04T00:57:10.760713
517,"Your AutoPay is set for Nov 26, 2025",time_sensitive,routine,gds,routine,,2025-12-04T00:57:18.610224
